visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y,bgra
xlabel,X-Axis Label,0,-0.5,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Area Plot,area,0.0,3.727829670585775e-06,0.0,plot_type,Area Plot,area,0.0,0.003866410499530224,255.0,plot_type,Area Plot,area,0.0,4.5952425422448764e-05,128.0,plot_type,Area Plot,area,0.0,1.9311866146805853e-22,192.0,plot_type,Area Plot,area,0.0,0.003866410499530224,20.0,plot_type,Area Plot,area,0.0,3.631074854484277e-09,50.0,plot_type,Area Plot,area,0.0,3.727829670585775e-06,20.0,plot_type,Area Plot,area,0.0,0.003866410499530224,255.0,plot_type,Area Plot,area,0.0,1.4768223711322742e-13,200.0,plot_type,Area Plot,area,0.0,1.9311866146805853e-22,200.0,plot_type,Area Plot,area,0.0,0.003866410499530224,100.0,plot_type,Area Plot,area,0.0,3.8029553172296626e-18,50.0,plot_type,Area Plot,area,0.0,3.727829670585775e-06,0.0
xrot,0,10,0.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,6.130574051780861e-06,0.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,0.004823119229019578,255.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,0.004436187630093153,128.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,5.249376923699974e-22,128.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,0.004823119229019578,180.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,1.1168685157586508e-05,70.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,6.130574051780861e-06,160.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,0.004823119229019578,50.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,1.4473064176460482e-08,150.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,5.249376923699974e-22,200.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,0.004823119229019578,0.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,1.187459556430251e-11,94.0,plot_style_type,Simple Area,NONE_STR,0.10050251256281408,6.130574051780861e-06,0.0
xmm,40,20,0.5,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,9.980666005594583e-06,0.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,0.005989607845730132,255.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,0.016875088320758493,128.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,1.4125524109498132e-21,0.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,0.005989607845730132,20.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,0.00012016643857013477,255.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,9.980666005594583e-06,230.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,0.005989607845730132,200.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,4.404398670480001e-07,255.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,1.4125524109498132e-21,20.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,0.005989607845730132,0.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,1.0220919209661408e-09,228.0,plot_data_type,XY Pair,NONE_STR,0.20100502512562815,9.980666005594583e-06,128.0
xscale,linear,,1.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,1.608537537469689e-05,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,0.007404898920718927,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,0.03610810771273074,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,3.76283072482175e-21,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,0.007404898920718927,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,0.00047236613375303,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,1.608537537469689e-05,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,0.007404898920718927,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,3.1806733849893556e-06,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,3.76283072482175e-21,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,0.007404898920718927,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,1.355998771306302e-08,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30150753768844224,1.608537537469689e-05,0.5
xmin,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,2.5663517158958088e-05,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,0.00911360569906203,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,0.061046161209271095,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,9.922888015437394e-21,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,0.00911360569906203,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,0.0012295338456841645,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,2.5663517158958088e-05,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,0.00911360569906203,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,1.2746440251208657e-05,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,9.922888015437394e-21,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,0.00911360569906203,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,8.36637334138681e-08,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.4020100502512563,2.5663517158958088e-05,
xmax,20.5,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,4.053353202304898e-05,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,0.011166361656397172,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,0.09070986945433107,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,2.5904475098387068e-20,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,0.011166361656397172,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,0.00255329908962437,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,4.053353202304898e-05,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,0.011166361656397172,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,3.69926238338379e-05,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,2.5904475098387068e-20,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,0.011166361656397172,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,3.393348636857699e-07,,plot_data_source,Worksheet Columns,NONE_STR,0.5025125628140704,4.053353202304898e-05,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,6.33761744108635e-05,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,0.013620200447080318,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,0.12422047646499118,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,6.694602585345818e-20,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,0.013620200447080318,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,0.004596340650362288,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,6.33761744108635e-05,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,0.013620200447080318,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,8.75381820628813e-05,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,6.694602585345818e-20,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,0.013620200447080318,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,1.0555595465537951e-06,,plot_polarunits,Standard Deviation,NONE_STR,0.6030150753768845,6.33761744108635e-05,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,9.809590749227066e-05,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,0.01653886350886486,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,0.16079144074836738,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,1.7127268377677134e-19,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,0.01653886350886486,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,0.007497252343600839,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,9.809590749227066e-05,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,0.01653886350886486,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,0.00017993167715456496,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,1.7127268377677134e-19,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,0.01653886350886486,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,2.734091389586181e-06,,plot_anguleunits,Degrees,NONE_STR,0.7035175879396985,9.809590749227066e-05,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,0.8040201005025126,0.00015031040883179122,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,0.019993009929396375,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,0.19972065298292183,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,4.337751842612567e-19,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,0.019993009929396375,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,0.011377585288646717,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,0.00015031040883179122,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,0.019993009929396375,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,0.00033361342561111885,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,4.337751842612567e-19,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,0.019993009929396375,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,6.193509944108706e-06,,plot_min_angle_row,0,NONE_STR,0.8040201005025126,0.00015031040883179122,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,0.9045226130653267,0.00022800297864746593,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,0.02406030092766837,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,0.24038323688889393,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,1.0875634424364995e-18,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,0.02406030092766837,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,0.01634030223103183,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,0.00022800297864746593,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,0.02406030092766837,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,0.0005717185565643529,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,1.0875634424364995e-18,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,0.02406030092766837,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,1.2664976602878391e-05,,plot_max_angle_row,360,NONE_STR,0.9045226130653267,0.00022800297864746593,
