visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,yerr,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,yerr,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,yerr,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,yerr,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y,yerr,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,yerr,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y,yerr,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,yerr,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y,yerr,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,yerr,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y,yerr,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,yerr,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y,yerr,bgra
xlabel,X-Axis Label,auto,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Vertical Bar Chart,bar,X 0,1.1490142459033699,0.1,0.0,plot_type,Vertical Bar Chart,bar,X 1,2.2980284918067397,0.2,255.0,plot_type,Vertical Bar Chart,bar,X 2,3.4470427377101096,0.30000000000000004,128.0,plot_type,Vertical Bar Chart,bar,X 3,4.5960569836134795,0.4,192.0,plot_type,Vertical Bar Chart,bar,X 4,5.745071229516849,0.5,20.0,plot_type,Vertical Bar Chart,bar,X 5,6.894085475420219,0.6000000000000001,50.0,plot_type,Vertical Bar Chart,bar,X 6,8.043099721323589,0.7000000000000001,20.0,plot_type,Vertical Bar Chart,bar,X 7,9.192113967226959,0.8,255.0,plot_type,Vertical Bar Chart,bar,X 8,10.341128213130329,0.9,200.0,plot_type,Vertical Bar Chart,bar,X 9,11.490142459033699,1.0,200.0,plot_type,Vertical Bar Chart,bar,X 10,12.639156704937069,1.1,100.0,plot_type,Vertical Bar Chart,bar,X 11,13.788170950840438,1.2000000000000002,50.0,plot_type,Vertical Bar Chart,bar,X 12,14.937185196743808,1.3,0.0
xrot,45,,5,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Error Bars,NONE_STR,,,,0.0,plot_style_type,Simple Error Bars,NONE_STR,,,,255.0,plot_style_type,Simple Error Bars,NONE_STR,,,,128.0,plot_style_type,Simple Error Bars,NONE_STR,,,,128.0,plot_style_type,Simple Error Bars,NONE_STR,,,,180.0,plot_style_type,Simple Error Bars,NONE_STR,,,,70.0,plot_style_type,Simple Error Bars,NONE_STR,,,,160.0,plot_style_type,Simple Error Bars,NONE_STR,,,,50.0,plot_style_type,Simple Error Bars,NONE_STR,,,,150.0,plot_style_type,Simple Error Bars,NONE_STR,,,,200.0,plot_style_type,Simple Error Bars,NONE_STR,,,,0.0,plot_style_type,Simple Error Bars,NONE_STR,,,,94.0,plot_style_type,Simple Error Bars,NONE_STR,,,,0.0
xmm,40,,10,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,NONE_STR,,,,0.0,plot_data_type,XY Pair,NONE_STR,,,,255.0,plot_data_type,XY Pair,NONE_STR,,,,128.0,plot_data_type,XY Pair,NONE_STR,,,,0.0,plot_data_type,XY Pair,NONE_STR,,,,20.0,plot_data_type,XY Pair,NONE_STR,,,,255.0,plot_data_type,XY Pair,NONE_STR,,,,230.0,plot_data_type,XY Pair,NONE_STR,,,,200.0,plot_data_type,XY Pair,NONE_STR,,,,255.0,plot_data_type,XY Pair,NONE_STR,,,,20.0,plot_data_type,XY Pair,NONE_STR,,,,0.0,plot_data_type,XY Pair,NONE_STR,,,,228.0,plot_data_type,XY Pair,NONE_STR,,,,128.0
xscale,category,,15,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,1.0
xmin,auto,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,
xmax,auto,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,
