visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,y,x,bgra,gw_param_keys 1,gw_param_values 1,label 1,y,x,bgra,gw_param_keys 2,gw_param_values 2,label 2,y,x,bgra,gw_param_keys 3,gw_param_values 3,label 3,y,x,bgra,gw_param_keys 4,gw_param_values 4,label 4,y,x,bgra,gw_param_keys 5,gw_param_values 5,label 5,y,x,bgra,gw_param_keys 6,gw_param_values 6,label 6,y,x,bgra,gw_param_keys 7,gw_param_values 7,label 7,y,x,bgra,gw_param_keys 8,gw_param_values 8,label 8,y,x,bgra,gw_param_keys 9,gw_param_values 9,label 9,y,x,bgra,gw_param_keys 10,gw_param_values 10,label 10,y,x,bgra,gw_param_keys 11,gw_param_values 11,label 11,y,x,bgra,gw_param_keys 12,gw_param_values 12,label 12,y,x,bgra
xlabel,X-Axis Label,-50,auto,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Box Plot,boxh,Category 0,4.872700594236813,0.0,plot_type,Box Plot,boxh,Category 1,9.745401188473625,255.0,plot_type,Box Plot,boxh,Category 2,14.618101782710436,128.0,plot_type,Box Plot,boxh,Category 3,19.49080237694725,192.0,plot_type,Box Plot,boxh,Category 4,24.36350297118406,20.0,plot_type,Box Plot,boxh,Category 5,29.236203565420873,50.0,plot_type,Box Plot,boxh,Category 6,34.10890415965768,20.0,plot_type,Box Plot,boxh,Category 7,38.9816047538945,255.0,plot_type,Box Plot,boxh,Category 8,43.85430534813131,200.0,plot_type,Box Plot,boxh,Category 9,48.72700594236812,200.0,plot_type,Box Plot,boxh,Category 10,53.59970653660494,100.0,plot_type,Box Plot,boxh,Category 11,58.472407130841745,50.0,plot_type,Box Plot,boxh,Category 12,63.34510772507856,0.0
xrot,0,0,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Horizontal Box Plot,NONE_STR,,7.75357153204958,0.0,plot_style_type,Horizontal Box Plot,NONE_STR,,15.50714306409916,255.0,plot_style_type,Horizontal Box Plot,NONE_STR,,23.260714596148745,128.0,plot_style_type,Horizontal Box Plot,NONE_STR,,31.01428612819832,128.0,plot_style_type,Horizontal Box Plot,NONE_STR,,38.767857660247905,180.0,plot_style_type,Horizontal Box Plot,NONE_STR,,46.52142919229749,70.0,plot_style_type,Horizontal Box Plot,NONE_STR,,54.275000724347066,160.0,plot_style_type,Horizontal Box Plot,NONE_STR,,62.02857225639664,50.0,plot_style_type,Horizontal Box Plot,NONE_STR,,69.78214378844623,150.0,plot_style_type,Horizontal Box Plot,NONE_STR,,77.53571532049581,200.0,plot_style_type,Horizontal Box Plot,NONE_STR,,85.28928685254539,0.0,plot_style_type,Horizontal Box Plot,NONE_STR,,93.04285838459498,94.0,plot_style_type,Horizontal Box Plot,NONE_STR,,100.79642991664454,0.0
xmm,40,50,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,Y Many X,NONE_STR,,6.659969709057025,0.0,plot_data_type,Y Many X,NONE_STR,,13.31993941811405,255.0,plot_data_type,Y Many X,NONE_STR,,19.979909127171076,128.0,plot_data_type,Y Many X,NONE_STR,,26.6398788362281,0.0,plot_data_type,Y Many X,NONE_STR,,33.29984854528513,20.0,plot_data_type,Y Many X,NONE_STR,,39.95981825434215,255.0,plot_data_type,Y Many X,NONE_STR,,46.619787963399176,230.0,plot_data_type,Y Many X,NONE_STR,,53.2797576724562,200.0,plot_data_type,Y Many X,NONE_STR,,59.93972738151323,255.0,plot_data_type,Y Many X,NONE_STR,,66.59969709057026,20.0,plot_data_type,Y Many X,NONE_STR,,73.25966679962728,0.0,plot_data_type,Y Many X,NONE_STR,,79.9196365086843,228.0,plot_data_type,Y Many X,NONE_STR,,86.57960621774133,128.0
xscale,linear,100,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,5.993292420985183,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,11.986584841970366,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,17.979877262955547,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,23.973169683940732,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,29.966462104925917,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,35.959754525911094,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,41.95304694689628,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,47.946339367881464,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,53.93963178886665,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,59.93292420985183,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,65.92621663083702,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,71.91950905182219,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,77.91280147280739,1.0
xmin,-0.9815296298932077,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,3.7800932022121825,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,7.560186404424365,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,11.340279606636548,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,15.12037280884873,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,18.900466011060914,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,22.680559213273096,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,26.460652415485278,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,30.24074561769746,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,34.02083881990964,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,37.80093202212183,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,41.581025224334006,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,45.36111842654619,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,49.14121162875837,
xmax,107.75959860548193,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,,3.7799726016810133,,plot_data_source,Worksheet Columns,NONE_STR,,7.559945203362027,,plot_data_source,Worksheet Columns,NONE_STR,,11.33991780504304,,plot_data_source,Worksheet Columns,NONE_STR,,15.119890406724053,,plot_data_source,Worksheet Columns,NONE_STR,,18.899863008405067,,plot_data_source,Worksheet Columns,NONE_STR,,22.67983561008608,,plot_data_source,Worksheet Columns,NONE_STR,,26.459808211767093,,plot_data_source,Worksheet Columns,NONE_STR,,30.239780813448107,,plot_data_source,Worksheet Columns,NONE_STR,,34.01975341512912,,plot_data_source,Worksheet Columns,NONE_STR,,37.79972601681013,,plot_data_source,Worksheet Columns,NONE_STR,,41.57969861849114,,plot_data_source,Worksheet Columns,NONE_STR,,45.35967122017216,,plot_data_source,Worksheet Columns,NONE_STR,,49.13964382185317,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,NONE_STR,,3.2904180608409974,,plot_polarunits,Standard Deviation,NONE_STR,,6.580836121681995,,plot_polarunits,Standard Deviation,NONE_STR,,9.871254182522993,,plot_polarunits,Standard Deviation,NONE_STR,,13.16167224336399,,plot_polarunits,Standard Deviation,NONE_STR,,16.452090304204987,,plot_polarunits,Standard Deviation,NONE_STR,,19.742508365045985,,plot_polarunits,Standard Deviation,NONE_STR,,23.03292642588698,,plot_polarunits,Standard Deviation,NONE_STR,,26.32334448672798,,plot_polarunits,Standard Deviation,NONE_STR,,29.613762547568975,,plot_polarunits,Standard Deviation,NONE_STR,,32.90418060840997,,plot_polarunits,Standard Deviation,NONE_STR,,36.19459866925097,,plot_polarunits,Standard Deviation,NONE_STR,,39.48501673009197,,plot_polarunits,Standard Deviation,NONE_STR,,42.77543479093296,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,,7.330880728874676,,plot_anguleunits,Degrees,NONE_STR,,14.661761457749352,,plot_anguleunits,Degrees,NONE_STR,,21.99264218662403,,plot_anguleunits,Degrees,NONE_STR,,29.323522915498703,,plot_anguleunits,Degrees,NONE_STR,,36.654403644373375,,plot_anguleunits,Degrees,NONE_STR,,43.98528437324806,,plot_anguleunits,Degrees,NONE_STR,,51.31616510212273,,plot_anguleunits,Degrees,NONE_STR,,58.647045830997406,,plot_anguleunits,Degrees,NONE_STR,,65.97792655987209,,plot_anguleunits,Degrees,NONE_STR,,73.30880728874675,,plot_anguleunits,Degrees,NONE_STR,,80.63968801762144,,plot_anguleunits,Degrees,NONE_STR,,87.97056874649611,,plot_anguleunits,Degrees,NONE_STR,,95.30144947537079,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,,6.005575058716044,,plot_min_angle_row,0,NONE_STR,,12.011150117432088,,plot_min_angle_row,0,NONE_STR,,18.01672517614813,,plot_min_angle_row,0,NONE_STR,,24.022300234864176,,plot_min_angle_row,0,NONE_STR,,30.02787529358022,,plot_min_angle_row,0,NONE_STR,,36.03345035229626,,plot_min_angle_row,0,NONE_STR,,42.039025411012304,,plot_min_angle_row,0,NONE_STR,,48.04460046972835,,plot_min_angle_row,0,NONE_STR,,54.0501755284444,,plot_min_angle_row,0,NONE_STR,,60.05575058716044,,plot_min_angle_row,0,NONE_STR,,66.06132564587648,,plot_min_angle_row,0,NONE_STR,,72.06690070459253,,plot_min_angle_row,0,NONE_STR,,78.07247576330857,
yscale,category,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,,6.540362888980227,,plot_max_angle_row,360,NONE_STR,,13.080725777960454,,plot_max_angle_row,360,NONE_STR,,19.621088666940683,,plot_max_angle_row,360,NONE_STR,,26.16145155592091,,plot_max_angle_row,360,NONE_STR,,32.70181444490114,,plot_max_angle_row,360,NONE_STR,,39.242177333881365,,plot_max_angle_row,360,NONE_STR,,45.78254022286159,,plot_max_angle_row,360,NONE_STR,,52.32290311184182,,plot_max_angle_row,360,NONE_STR,,58.86326600082205,,plot_max_angle_row,360,NONE_STR,,65.40362888980228,,plot_max_angle_row,360,NONE_STR,,71.9439917787825,,plot_max_angle_row,360,NONE_STR,,78.48435466776273,,plot_max_angle_row,360,NONE_STR,,85.02471755674296,
