visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y,bgra
xlabel,X-Axis Label,0,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Scatter Plot,jitter,0.9824279936868143,5.496714153011233,0.0,plot_type,Scatter Plot,jitter,1.8020518196257829,7.308879910413632,255.0,plot_type,Scatter Plot,jitter,3.1450697344147835,7.949139395841778,128.0,plot_type,Scatter Plot,jitter,3.8971032627120454,11.0421996365593,192.0,plot_type,Scatter Plot,jitter,4.81439541743988,14.052776511766933,20.0,plot_type,Scatter Plot,jitter,6.014746316985781,13.303981048467719,50.0,plot_type,Scatter Plot,jitter,6.933874127074278,14.814011096157406,20.0,plot_type,Scatter Plot,jitter,7.94209091593062,16.49641821230417,255.0,plot_type,Scatter Plot,jitter,9.067335027510673,16.943084517422502,200.0,plot_type,Scatter Plot,jitter,10.10185535673627,22.18659111462383,200.0,plot_type,Scatter Plot,jitter,11.096909579540153,26.558427521842486,100.0,plot_type,Scatter Plot,jitter,12.009742039841859,27.65876757392201,50.0,plot_type,Scatter Plot,jitter,12.984302780890404,22.70248346831611,0.0
xrot,0,5,15,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Scatter,NONE_STR,1.1140703845572055,4.861735698828816,0.0,plot_style_type,Simple Scatter,NONE_STR,2.0172810061121624,5.909822280663207,255.0,plot_style_type,Simple Scatter,NONE_STR,2.8595392252176874,10.842900254596547,128.0,plot_style_type,Simple Scatter,NONE_STR,3.9551930070428667,11.416514722276242,128.0,plot_style_type,Simple Scatter,NONE_STR,4.919963140008615,15.216152332793019,180.0,plot_style_type,Simple Scatter,NONE_STR,5.917383927191959,17.611812715897962,70.0,plot_style_type,Simple Scatter,NONE_STR,6.952228975478777,14.66051822794285,160.0,plot_style_type,Simple Scatter,NONE_STR,7.968319693945665,17.02994634108351,50.0,plot_style_type,Simple Scatter,NONE_STR,8.820903476442604,20.91945823096836,150.0,plot_style_type,Simple Scatter,NONE_STR,10.091484332176469,23.31395853177437,200.0,plot_style_type,Simple Scatter,NONE_STR,11.06316354703465,21.193748857735294,0.0,plot_style_type,Simple Scatter,NONE_STR,12.043032009712457,30.733637469369874,94.0,plot_style_type,Simple Scatter,NONE_STR,12.894061603365024,25.324603428720874,0.0
xmm,40,10,30,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,NONE_STR,0.8798695128633439,5.6476885381006925,0.0,plot_data_type,XY Pair,NONE_STR,1.9902385468029014,6.545796272729412,255.0,plot_data_type,XY Pair,NONE_STR,3.0251799832635893,10.744596040100802,128.0,plot_data_type,XY Pair,NONE_STR,4.12754937102615,10.367767133571531,0.0,plot_data_type,XY Pair,NONE_STR,4.819061287841613,14.479420475202136,20.0,plot_data_type,XY Pair,NONE_STR,5.804240821160264,16.84841593243607,255.0,plot_data_type,XY Pair,NONE_STR,6.960656276770914,15.596232985317096,230.0,plot_data_type,XY Pair,NONE_STR,8.162599829259083,20.596350050832,200.0,plot_data_type,XY Pair,NONE_STR,8.930822921625206,19.38558609791078,255.0,plot_data_type,XY Pair,NONE_STR,10.025904375489814,26.50222634385143,20.0,plot_data_type,XY Pair,NONE_STR,10.880526732537119,25.72126007858863,0.0,plot_data_type,XY Pair,NONE_STR,11.851291149609285,20.367552708562062,228.0,plot_data_type,XY Pair,NONE_STR,13.142486868921836,29.267117006736832,128.0
xscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.0056937753654447,6.523029856408026,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,2.054549471028609,6.358101281469315,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,2.863662105525259,6.753117962237968,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,3.829816314064619,10.673118551938781,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,4.94888443112245,11.561388957046386,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,6.153520287116899,16.28082360246619,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,7.071729932855536,19.33549511578013,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,7.900771600999977,23.37430447117442,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,8.822560655668598,17.19209073847582,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,10.085648558164761,19.189508080857994,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,11.123395165297339,22.588127704606045,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,11.875730251457886,24.975401046155742,0.8,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,12.988357510296886,24.395938989679976,0.8
xmin,0.504166722861754,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,1.036965827544817,4.765846625276664,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1912816536328026,8.02968801528595,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.8691579706329198,6.944598849428133,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,4.169259815611068,8.965387752448956,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,4.904966078571279,13.74169581466432,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,6.0625642592493785,12.89052603414517,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,6.858470568233422,16.65371086694951,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,7.921168175477372,15.540199815371144,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,8.871931077625515,24.671059916645866,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,10.032942432220075,23.279812070463972,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,11.114560975363908,25.052032298880754,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,11.976475047822102,30.19080463749777,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,12.821833372595222,31.128904764530976,
xmax,13.506891517403757,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,0.8185801650879991,4.765863043050819,,plot_data_source,Worksheet Columns,NONE_STR,2.163465103132435,6.5043880212223275,,plot_data_source,Worksheet Columns,NONE_STR,2.8416091843960922,6.598901358837285,,plot_data_source,Worksheet Columns,NONE_STR,3.889958432803783,6.8449941915887775,,plot_data_source,Worksheet Columns,NONE_STR,5.196210482565075,12.682918094413075,,plot_data_source,Worksheet Columns,NONE_STR,6.176902389058918,18.595521430250887,,plot_data_source,Worksheet Columns,NONE_STR,7.115513687319254,19.406202653105094,,plot_data_source,Worksheet Columns,NONE_STR,7.830419051337325,19.561139283303277,,plot_data_source,Worksheet Columns,NONE_STR,9.170373269000416,19.760496426957328,,plot_data_source,Worksheet Columns,NONE_STR,10.055655645439622,22.865624911351556,,plot_data_source,Worksheet Columns,NONE_STR,10.957975855161646,26.1831814929415,,plot_data_source,Worksheet Columns,NONE_STR,12.14481364064225,34.662572144309024,,plot_data_source,Worksheet Columns,NONE_STR,13.197302831819423,31.493517676121964,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,NONE_STR,1.0430179407605753,6.5792128155073915,,plot_polarunits,Standard Deviation,NONE_STR,2.1640612303120625,7.59782630138474,,plot_polarunits,Standard Deviation,NONE_STR,2.881175037200067,11.602297168117577,,plot_polarunits,Standard Deviation,NONE_STR,4.082548593843199,11.463489458960874,,plot_polarunits,Standard Deviation,NONE_STR,4.958058139241224,12.868290454654572,,plot_polarunits,Standard Deviation,NONE_STR,6.097978119107984,12.974426499024489,,plot_polarunits,Standard Deviation,NONE_STR,6.814970822249737,12.435321159199804,,plot_polarunits,Standard Deviation,NONE_STR,7.900597215309072,19.81508640148606,,plot_polarunits,Standard Deviation,NONE_STR,9.175206089176957,18.97078004386871,,plot_polarunits,Standard Deviation,NONE_STR,10.118079491421957,22.002556867289464,,plot_polarunits,Standard Deviation,NONE_STR,11.004246493995623,28.837396792158373,,plot_polarunits,Standard Deviation,NONE_STR,12.158793937729666,25.268052247440554,,plot_polarunits,Standard Deviation,NONE_STR,12.878222555715471,23.998672911064823,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,0.8682096494749166,5.7674347291529084,,plot_anguleunits,Degrees,NONE_STR,2.010102268442858,9.412239097086383,,plot_anguleunits,Degrees,NONE_STR,2.9820757186891553,9.122623166772124,,plot_anguleunits,Degrees,NONE_STR,3.8442261827090043,9.602712569900437,,plot_anguleunits,Degrees,NONE_STR,4.923015705039626,11.981800499021947,,plot_anguleunits,Degrees,NONE_STR,5.906884178304197,16.647246648684213,,plot_anguleunits,Degrees,NONE_STR,7.045452154994567,18.54139261938159,,plot_anguleunits,Degrees,NONE_STR,8.164254236187166,19.55491291102573,,plot_anguleunits,Degrees,NONE_STR,9.085637082973637,23.782696111380524,,plot_anguleunits,Degrees,NONE_STR,10.147796223961738,19.95203455645117,,plot_anguleunits,Degrees,NONE_STR,11.11846381660081,26.979209123144617,,plot_anguleunits,Degrees,NONE_STR,11.891571789423143,29.408657345610514,,plot_anguleunits,Degrees,NONE_STR,13.085009953278103,23.303573524042903,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,0.8260206371941118,4.530525614065048,,plot_min_angle_row,0,NONE_STR,1.8416075799419052,8.515433853421186,,plot_min_angle_row,0,NONE_STR,3.117829966491287,8.926748925005372,,plot_min_angle_row,0,NONE_STR,4.040401649409275,11.630516250498053,,plot_min_angle_row,0,NONE_STR,4.888440454539082,12.831762562977993,,plot_min_angle_row,0,NONE_STR,5.944745151131553,14.410699293297759,,plot_min_angle_row,0,NONE_STR,6.860827130176094,20.684204990772987,,plot_min_angle_row,0,NONE_STR,8.137457332490271,18.976178025701167,,plot_min_angle_row,0,NONE_STR,9.093075043562607,17.666039250687255,,plot_min_angle_row,0,NONE_STR,9.939996759298065,22.017150444036776,,plot_min_angle_row,0,NONE_STR,10.97815099835641,23.633857371579303,,plot_min_angle_row,0,NONE_STR,11.98651234251561,20.118874258994257,,plot_min_angle_row,0,NONE_STR,13.126555985170686,30.98229371994957,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,1.1795542149013334,5.542560043585965,,plot_max_angle_row,360,NONE_STR,1.8723658381031605,6.472942171758839,,plot_max_angle_row,360,NONE_STR,3.1963290723923126,9.77766029131651,,plot_max_angle_row,360,NONE_STR,3.9627170152353175,12.496168870215856,,plot_max_angle_row,360,NONE_STR,4.997610009994555,14.54314194935246,,plot_max_angle_row,360,NONE_STR,6.010561554229127,13.81505885697638,,plot_max_angle_row,360,NONE_STR,7.108750820059444,16.125864956332656,,plot_max_angle_row,360,NONE_STR,8.05487777531205,23.329234684130775,,plot_max_angle_row,360,NONE_STR,8.984699070505773,17.548554857326693,,plot_max_angle_row,360,NONE_STR,9.923159890923193,30.247519870204638,,plot_max_angle_row,360,NONE_STR,11.097226764204086,29.39736707937371,,plot_max_angle_row,360,NONE_STR,11.988224538549321,26.022590284160565,,plot_max_angle_row,360,NONE_STR,12.988422908429143,26.696632385869055,
