visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y,bgra
xlabel,X-Axis Label,0,-20,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Line Plot,line,0.0,0.04967141530112327,0.0,plot_type,Line Plot,line,0.0,1.0581939078106526,255.0,plot_type,Line Plot,line,0.0,2.673427200327059,128.0,plot_type,Line Plot,line,0.0,4.1886656076207105,192.0,plot_type,Line Plot,line,0.0,4.794844210634025,20.0,plot_type,Line Plot,line,0.0,3.8888613564304784,50.0,plot_type,Line Plot,line,0.0,1.3355399635269334,20.0,plot_type,Line Plot,line,0.0,-2.4088944991079724,255.0,plot_type,Line Plot,line,0.0,-6.364179720061244,200.0,plot_type,Line Plot,line,0.0,-9.278587023639737,200.0,plot_type,Line Plot,line,0.0,-10.001781452982167,100.0,plot_type,Line Plot,line,0.0,-7.870426923231223,50.0,plot_type,Line Plot,line,0.0,-2.9866730776714334,0.0
xrot,0,5,-10,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,0.48852472448639406,0.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,1.6831400882538485,255.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,2.955553421632583,128.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,3.5368247704276645,128.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,2.816791026554066,180.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,0.6071717354643414,70.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-2.72390268671513,160.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-6.300528419597048,50.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-8.969082344950769,150.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-9.64954753653894,200.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-7.705229586466549,0.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-3.2145655266173,94.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,2.9499051782591494,0.0
xmm,40,10,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,0.9334984718459387,0.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,2.129207758628368,255.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,2.852744406220363,128.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,2.481065165109859,0.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,0.7680631706951615,20.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-2.008758473754555,255.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-5.077604669940274,230.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-7.379976407055549,200.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-7.901143924386371,255.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-6.025133030409483,20.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-1.8012255945044453,0.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,3.971598989754495,228.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,9.88658395827741,128.0
xscale,linear,,10,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,1.1522697660849317,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,2.0518972407570146,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,2.0571856614947555,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,0.8596292172979482,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-1.3562083289916083,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-3.922152801676233,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-5.871648203199329,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-6.250107007561238,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-4.4563523502385705,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-0.5051801079733391,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,4.88149082410603,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,10.400400517425146,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,14.49134541397348,1.0
xmin,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,0.8371250009019104,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,0.9751379489433996,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,0.03871850183007193,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-1.8825976441505714,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-4.223532451547904,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-6.106097111019855,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-6.630594946888451,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-5.204730601829316,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-1.8036022101464333,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,2.931229121522279,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,7.8006111338187205,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,11.349760111430736,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,12.287330049920826,
xmax,11.275,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,0.4647755131715578,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-0.026800313651248044,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-1.4820824711171585,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-3.4377286150088677,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-5.100751707182883,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-5.620995815025493,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-4.409146819647052,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-1.3955196544243724,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,2.8617722948754745,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,7.268055702010148,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,10.471522598553397,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,11.25963556744514,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,8.959438133307389,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,0.14161992035678406,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-0.6714926864332447,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-2.0767366649599754,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-3.362377098269382,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-3.722357807814306,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-2.564469651081104,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,0.230707751552371,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,4.1913873381157085,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,8.327506470423366,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,11.387577673725739,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,12.23303464277315,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,10.221786909303535,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,5.481418403252356,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-0.43963612658473755,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-1.5739660357632932,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-2.7685786221509887,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-3.2559935337651646,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-2.4352627701060663,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-0.1324187647993726,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,3.2697412983298006,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,6.8856580575881114,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,9.5613024469524,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,10.22711620694487,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,8.265953393168138,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,3.7799667801347234,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-2.337252770442948,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-0.9236354696290335,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-2.093891407668599,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-2.7762644596495925,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-2.3552647378888145,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-0.5977125753512339,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,2.2050297653701367,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,5.271560244529237,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,7.542243852141381,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,8.011449137622956,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,6.081047167542713,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,1.8223568532991459,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-3.94587574449692,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-9.805923390748434,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-0.9454450328808857,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-1.622683817552553,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-1.3959306802609373,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,0.03171755660422171,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,2.46255688077876,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,5.218758980724412,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,7.331821079471299,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,7.854846677816068,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,6.202798816065503,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,2.410874998050209,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-2.7804450839348074,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-8.057434204953884,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-11.861968667812969,
