visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,theta,r,bgra,gw_param_keys 1,gw_param_values 1,label 1,theta,r,bgra,gw_param_keys 2,gw_param_values 2,label 2,theta,r,bgra,gw_param_keys 3,gw_param_values 3,label 3,theta,r,bgra,gw_param_keys 4,gw_param_values 4,label 4,theta,r,bgra,gw_param_keys 5,gw_param_values 5,label 5,theta,r,bgra,gw_param_keys 6,gw_param_values 6,label 6,theta,r,bgra,gw_param_keys 7,gw_param_values 7,label 7,theta,r,bgra,gw_param_keys 8,gw_param_values 8,label 8,theta,r,bgra,gw_param_keys 9,gw_param_values 9,label 9,theta,r,bgra,gw_param_keys 10,gw_param_values 10,label 10,theta,r,bgra,gw_param_keys 11,gw_param_values 11,label 11,theta,r,bgra,gw_param_keys 12,gw_param_values 12,label 12,theta,r,bgra
xlabel,X-Axis Label,-6,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Polar Plot,polar,0.0,0.5496714153011233,0.0,plot_type,Polar Plot,polar,0.0,1.5993428306022466,255.0,plot_type,Polar Plot,polar,0.0,2.64901424590337,128.0,plot_type,Polar Plot,polar,0.0,3.698685661204493,192.0,plot_type,Polar Plot,polar,0.0,4.7483570765056164,20.0,plot_type,Polar Plot,polar,0.0,5.79802849180674,50.0,plot_type,Polar Plot,polar,0.0,6.847699907107863,20.0,plot_type,Polar Plot,polar,0.0,7.897371322408986,255.0,plot_type,Polar Plot,polar,0.0,8.94704273771011,200.0,plot_type,Polar Plot,polar,0.0,9.996714153011233,200.0,plot_type,Polar Plot,polar,0.0,11.046385568312356,100.0,plot_type,Polar Plot,polar,0.0,12.09605698361348,50.0,plot_type,Polar Plot,polar,0.0,13.145728398914603,0.0
xrot,0,0,90,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Lines,NONE_STR,12.413793103448276,0.5936587899883936,0.0,plot_style_type,Lines,NONE_STR,12.413793103448276,1.6822916905458953,255.0,plot_style_type,Lines,NONE_STR,12.413793103448276,2.7611078172455272,128.0,plot_style_type,Lines,NONE_STR,12.413793103448276,3.8257753070953444,128.0,plot_style_type,Lines,NONE_STR,12.413793103448276,4.872623871637419,180.0,plot_style_type,Lines,NONE_STR,12.413793103448276,5.898816415556901,70.0,plot_style_type,Lines,NONE_STR,12.413793103448276,6.902481696105733,160.0,plot_style_type,Lines,NONE_STR,12.413793103448276,7.882801820333815,50.0,plot_style_type,Lines,NONE_STR,12.413793103448276,8.84005048885433,150.0,plot_style_type,Lines,NONE_STR,12.413793103448276,9.77558019790726,200.0,plot_style_type,Lines,NONE_STR,12.413793103448276,10.691758998138408,0.0,plot_style_type,Lines,NONE_STR,12.413793103448276,11.59185976718309,94.0,plot_style_type,Lines,NONE_STR,12.413793103448276,12.47990717354545,0.0
xmm,40,6,180,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,Theta R,NONE_STR,24.82758620689655,0.7747134045902015,0.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,2.010618735183957,255.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,3.176081557689819,128.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,4.252488676511041,0.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,5.237688768128791,20.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,6.146390051448926,255.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,7.007441485882456,230.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,7.858500065412564,200.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,8.739069954863911,255.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,9.683200178192298,20.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,10.7131906849852,0.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,11.83547022349782,228.0,plot_data_type,Theta R,NONE_STR,24.82758620689655,13.039407991934018,128.0
xscale,linear,12,270,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,0.9548900932376851,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,2.2863809675412163,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,3.4213973168308036,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,4.366988871151721,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,5.2074554189920415,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,6.069968184418104,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,7.0727076382148555,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,8.276667862903409,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,9.66078231998709,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,11.130515076513538,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,12.556413869612646,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,13.826902534615193,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,37.24137931034483,14.893783312408878,1.0
xmin,-0.49970064306320294,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,0.8576656900914846,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,1.946582586326096,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,2.68753091617151,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,3.2466878850426757,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,3.9184349527299362,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,4.917751952942987,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,6.228607417588153,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,7.615264407818214,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,8.788528669674559,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,9.609696354703376,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,10.188371778592359,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,10.805171451253551,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,49.6551724137931,11.713825616600051,
xmax,15.269234140591124,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,0.9183423265280934,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,1.8670171076886093,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,2.375699403703275,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,2.941856857311932,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,4.001850493961591,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,5.4670030459360035,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,6.8178791263951855,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,7.656540163867367,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,8.129625973677747,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,8.772449781780056,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,9.939862239759018,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,11.428980202441116,,plot_data_source,Worksheet Columns,NONE_STR,62.06896551724138,12.694888662891627,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,1.1396962778103505,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,2.073619491689989,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,2.629914115225506,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,3.6899291039799453,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,5.397091627859208,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,6.946794396229997,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,7.765099735923164,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,8.349525753327468,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,9.540210506392835,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,11.289157366287524,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,12.730547358328895,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,13.44911488782084,,plot_polarunits,Standard Deviation,NONE_STR,74.48275862068967,14.088488300251214,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,1.0760101798408528,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,1.7075464550425528,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,2.2368171574751097,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,3.6994886715556516,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,5.365492360836066,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,6.120111602559736,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,6.57271595049864,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,7.904003232542195,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,9.632447278460628,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,10.52521165774142,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,10.930333702989754,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,12.118334567386608,,plot_anguleunits,Degrees,NONE_STR,86.89655172413792,13.878746175462599,
ymm,40,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,99.3103448275862,0.9464658226772679,,plot_min_angle_row,0,NONE_STR,99.3103448275862,1.2464543577450196,,plot_min_angle_row,0,NONE_STR,99.3103448275862,1.917401661996503,,plot_min_angle_row,0,NONE_STR,99.3103448275862,3.6147973532229014,,plot_min_angle_row,0,NONE_STR,99.3103448275862,4.609112536459236,,plot_min_angle_row,0,NONE_STR,99.3103448275862,4.804470869360584,,plot_min_angle_row,0,NONE_STR,99.3103448275862,5.961423379065401,,plot_min_angle_row,0,NONE_STR,99.3103448275862,7.606195487511649,,plot_min_angle_row,0,NONE_STR,99.3103448275862,8.131532561870515,,plot_min_angle_row,0,NONE_STR,99.3103448275862,8.531258907139486,,plot_min_angle_row,0,NONE_STR,99.3103448275862,10.091063395577066,,plot_min_angle_row,0,NONE_STR,99.3103448275862,11.401119096786454,,plot_min_angle_row,0,NONE_STR,99.3103448275862,11.631906369696052,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,111.72413793103449,1.0187443642669922,,plot_max_angle_row,360,NONE_STR,111.72413793103449,1.2646622792904811,,plot_max_angle_row,360,NONE_STR,111.72413793103449,2.4528234622956577,,plot_max_angle_row,360,NONE_STR,111.72413793103449,4.216290724359948,,plot_max_angle_row,360,NONE_STR,111.72413793103449,4.611629256724992,,plot_max_angle_row,360,NONE_STR,111.72413793103449,5.444454998587761,,plot_max_angle_row,360,NONE_STR,111.72413793103449,7.321548052733187,,plot_max_angle_row,360,NONE_STR,111.72413793103449,7.9881075440807425,,plot_max_angle_row,360,NONE_STR,111.72413793103449,8.506529042967756,,plot_max_angle_row,360,NONE_STR,111.72413793103449,10.345147151182848,,plot_max_angle_row,360,NONE_STR,111.72413793103449,11.354592976533072,,plot_max_angle_row,360,NONE_STR,111.72413793103449,11.657658791032395,,plot_max_angle_row,360,NONE_STR,111.72413793103449,13.312813276767265,
