visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y,bgra
xlabel,X-Axis Label,-10,-15,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Scatter Plot,scatter,0.4967141530112327,-0.6017066122293969,0.0,plot_type,Scatter Plot,scatter,5.5960569836134795,-0.6612379516096742,255.0,plot_type,Scatter Plot,scatter,10.695399814215726,2.877546542838556,128.0,plot_type,Scatter Plot,scatter,0.7947426448179723,4.518578585050683,192.0,plot_type,Scatter Plot,scatter,5.894085475420219,7.681718159562884,20.0,plot_type,Scatter Plot,scatter,10.993428306022466,11.427994272127432,50.0,plot_type,Scatter Plot,scatter,1.092771136624712,10.176488444129536,20.0,plot_type,Scatter Plot,scatter,6.192113967226959,15.690719805629694,255.0,plot_type,Scatter Plot,scatter,11.291456797829206,19.39456104377178,200.0,plot_type,Scatter Plot,scatter,1.3907996284314514,17.07362216996353,200.0,plot_type,Scatter Plot,scatter,6.490142459033698,21.270470571196185,100.0,plot_type,Scatter Plot,scatter,11.589485289635945,27.246676775015004,50.0,plot_type,Scatter Plot,scatter,1.6888281202381912,22.12367129363387,0.0
xrot,0,0,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Scatter,NONE_STR,-0.13826430117118466,1.8522781845089378,0.0,plot_style_type,Simple Scatter,NONE_STR,4.834082838594578,0.6922718788642133,255.0,plot_style_type,Simple Scatter,NONE_STR,9.806429978360342,2.132654276862039,128.0,plot_style_type,Simple Scatter,NONE_STR,-0.22122288187389547,4.472994364478043,128.0,plot_style_type,Simple Scatter,NONE_STR,4.751124257891868,6.515367422740431,180.0,plot_style_type,Simple Scatter,NONE_STR,9.723471397657631,9.022518175606177,70.0,plot_style_type,Simple Scatter,NONE_STR,-0.3041814625766063,9.63183214579022,160.0,plot_style_type,Simple Scatter,NONE_STR,4.668165677189156,13.195705852452075,50.0,plot_style_type,Simple Scatter,NONE_STR,9.64051281695492,19.250446820029907,150.0,plot_style_type,Simple Scatter,NONE_STR,-0.387140043279317,14.738621029286785,200.0,plot_style_type,Simple Scatter,NONE_STR,4.585207096486446,19.94231966799819,0.0,plot_style_type,Simple Scatter,NONE_STR,9.557554236252209,26.428711777579505,94.0,plot_style_type,Simple Scatter,NONE_STR,-0.4700986239820279,20.404526641754458,0.0
xmm,40,10,15,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,NONE_STR,0.6476885381006925,-0.013497224737933921,0.0,plot_data_type,XY Pair,NONE_STR,5.777226245720831,-1.3819474993076923,255.0,plot_data_type,XY Pair,NONE_STR,10.906763953340969,2.0657045082799534,128.0,plot_data_type,XY Pair,NONE_STR,1.036301660961108,6.368012724507247,0.0,plot_data_type,XY Pair,NONE_STR,6.1658393685812465,6.78941374712654,20.0,plot_data_type,XY Pair,NONE_STR,11.295377076201385,10.338476162249478,255.0,plot_data_type,XY Pair,NONE_STR,1.4249147838215237,9.748613896286885,230.0,plot_data_type,XY Pair,NONE_STR,6.554452491441662,15.591649641901189,200.0,plot_data_type,XY Pair,NONE_STR,11.6839901990618,19.31136612013949,255.0,plot_data_type,XY Pair,NONE_STR,1.8135279066819388,16.333167765547877,20.0,plot_data_type,XY Pair,NONE_STR,6.9430656143020775,23.420959659043593,0.0,plot_data_type,XY Pair,NONE_STR,12.072603321922216,28.60861476377412,228.0,plot_data_type,XY Pair,NONE_STR,2.202141029542355,21.94051614157347,128.0
xscale,linear,,30,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5230298564080254,-1.0577109289559004,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,6.8276358276896305,-0.6454224661294674,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,12.132241798971236,2.1253446642049587,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,2.436847770252841,6.074672620644313,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,7.741453741534446,8.708257785454647,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,13.046059712816051,11.85429328781159,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,3.350665684097656,10.814192786377923,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,8.655271655379261,16.420326183813117,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,13.959877626660866,22.7325457571427,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,4.264483597942471,18.929796014683724,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,9.569089569224076,24.050819350950427,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,14.873695540505683,30.831304890789212,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,5.178301511787287,25.88629966754698,1.0
xmin,-9.527993942513474,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-0.23415337472333597,0.822544912103189,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,4.719015950331997,0.6687628309023232,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,9.67218527538733,0.45591506471003873,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-0.37464539955733756,3.124566224770065,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,4.578523925497995,7.862409092695149,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,9.531693250553328,10.741391752399023,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-0.5151374243913391,10.503443367759395,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,4.438031900663994,12.461502575859672,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,9.391201225719326,14.893215876485716,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-0.6556294492253407,12.422364581096302,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,4.297539875829992,18.489046272936804,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,9.250709200885325,25.689047554087214,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-0.7961214740593424,18.652546077996632,
xmax,16.548150779036945,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,-0.23413695694918055,-1.2208436499710222,,plot_data_source,Worksheet Columns,NONE_STR,4.719035651660984,1.2103701451615088,,plot_data_source,Worksheet Columns,NONE_STR,9.672208260271148,1.214597443659521,,plot_data_source,Worksheet Columns,NONE_STR,-0.3746191311186889,5.211698230059189,,plot_data_source,Worksheet Columns,NONE_STR,4.578553477491475,7.762701510112789,,plot_data_source,Worksheet Columns,NONE_STR,9.531726086101639,9.286688805205529,,plot_data_source,Worksheet Columns,NONE_STR,-0.5151013052881972,11.047179245397905,,plot_data_source,Worksheet Columns,NONE_STR,4.4380713033219665,13.46804551783379,,plot_data_source,Worksheet Columns,NONE_STR,9.391243911932131,18.334897633920928,,plot_data_source,Worksheet Columns,NONE_STR,-0.6555834794577055,14.190302980650554,,plot_data_source,Worksheet Columns,NONE_STR,4.297589129152458,18.795832085567923,,plot_data_source,Worksheet Columns,NONE_STR,9.250761737762621,25.272915460886924,,plot_data_source,Worksheet Columns,NONE_STR,-0.7960656536272139,17.581206267515224,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,NONE_STR,1.5792128155073915,0.2088635950047554,,plot_polarunits,Standard Deviation,NONE_STR,6.89505537860887,0.8608738190508575,,plot_polarunits,Standard Deviation,NONE_STR,12.210897941710348,1.9815408173822822,,plot_polarunits,Standard Deviation,NONE_STR,2.5267405048118263,5.372939871027231,,plot_polarunits,Standard Deviation,NONE_STR,7.842583067913305,7.297815703942684,,plot_polarunits,Standard Deviation,NONE_STR,13.158425631014783,11.393553838843573,,plot_polarunits,Standard Deviation,NONE_STR,3.4742681941162616,12.012550794889423,,plot_polarunits,Standard Deviation,NONE_STR,8.79011075721774,17.691114096518387,,plot_polarunits,Standard Deviation,NONE_STR,14.105953320319218,21.371809724493545,,plot_polarunits,Standard Deviation,NONE_STR,4.421795883420696,19.336728866590374,,plot_polarunits,Standard Deviation,NONE_STR,9.737638446522174,25.65304056422425,,plot_polarunits,Standard Deviation,NONE_STR,15.053481009623653,32.527474101118905,,plot_polarunits,Standard Deviation,NONE_STR,5.369323572725132,26.739308564334735,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,0.7674347291529088,-1.9596701238797756,,plot_anguleunits,Degrees,NONE_STR,5.92092167498349,0.4764438851101085,,plot_anguleunits,Degrees,NONE_STR,11.074408620814072,3.2720039503817304,,plot_anguleunits,Degrees,NONE_STR,1.227895566644654,4.691446669687437,,plot_anguleunits,Degrees,NONE_STR,6.381382512475236,7.2433406291388795,,plot_anguleunits,Degrees,NONE_STR,11.534869458305817,9.66109975514688,,plot_anguleunits,Degrees,NONE_STR,1.6883564041363994,12.016546740373863,,plot_anguleunits,Degrees,NONE_STR,6.8418433499669815,14.753464305866936,,plot_anguleunits,Degrees,NONE_STR,11.995330295797563,19.297256886172185,,plot_anguleunits,Degrees,NONE_STR,2.1488172416281444,18.411829562206844,,plot_anguleunits,Degrees,NONE_STR,7.302304187458726,22.63105529711841,,plot_anguleunits,Degrees,NONE_STR,12.455791133289308,27.999317152740886,,plot_anguleunits,Degrees,NONE_STR,2.60927807911989,23.392188967123758,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,-0.4694743859349521,-1.3281860488984305,,plot_min_angle_row,0,NONE_STR,4.436630736878057,0.142559378098517,,plot_min_angle_row,0,NONE_STR,9.342735859691068,2.2121654615066753,,plot_min_angle_row,0,NONE_STR,-0.7511590174959234,5.386328583592091,,plot_min_angle_row,0,NONE_STR,4.154946105317086,6.993241873530399,,plot_min_angle_row,0,NONE_STR,9.061051228130095,8.334318989984377,,plot_min_angle_row,0,NONE_STR,-1.0328436490568946,9.741929835613497,,plot_min_angle_row,0,NONE_STR,3.8732614737561146,14.275926687443286,,plot_min_angle_row,0,NONE_STR,8.779366596569124,17.1152540537908,,plot_min_angle_row,0,NONE_STR,-1.3145282806178658,13.298654329170274,,plot_min_angle_row,0,NONE_STR,3.5915768421951437,18.061816638428105,,plot_min_angle_row,0,NONE_STR,8.497681965008153,24.0197880149112,,plot_min_angle_row,0,NONE_STR,-1.5962129121788373,18.089657962027857,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,0.5425600435859647,0.19686123586912352,,plot_max_angle_row,360,NONE_STR,5.6510720523031575,-0.9134147851371116,,plot_max_angle_row,360,NONE_STR,10.75958406102035,0.3888766568413362,,plot_max_angle_row,360,NONE_STR,0.8680960697375435,6.2914283434172145,,plot_max_angle_row,360,NONE_STR,5.976608078454737,8.366188358504253,,plot_max_angle_row,360,NONE_STR,11.08512008717193,11.355085865980163,,plot_max_angle_row,360,NONE_STR,1.1936320958891224,10.07105950292835,,plot_max_angle_row,360,NONE_STR,6.302144104606315,11.791755769134676,,plot_max_angle_row,360,NONE_STR,11.410656113323508,17.140955976057917,,plot_max_angle_row,360,NONE_STR,1.519168122040701,15.558757706943442,,plot_max_angle_row,360,NONE_STR,6.627680130757894,22.14094756387125,,plot_max_angle_row,360,NONE_STR,11.736192139475087,27.517703200290438,,plot_max_angle_row,360,NONE_STR,1.8447041481922801,21.97905784445559,
